ComicID,CharacterID
2,62543
2,62544
2,1
2,18512
3,62543
3,62544
3,1
3,18512
3,18511
8,19
8,18
8,30071
9,237
9,2924
9,59
9,61
9,60
9,57
9,58
9,56
9,19
9,24
9,18
9,90255
10,21
10,90155
10,26122
10,2924
10,234
10,26123
10,20
10,18
11,21
11,90152
11,26122
11,62
11,2924
11,26123
11,20
11,22
11,18
11,90150
12,17035
12,21
12,26122
12,62
12,90153
12,26123
12,20
12,22
12,18
13,27099
13,27102
13,27098
13,27101
13,27103
13,27100
14,21
14,26122
14,90151
14,26123
14,20
14,18
15,27104
15,27098
15,27101
15,27100
16,19141
16,100
16,19140
16,19143
18,80829
18,80833
18,80831
18,80830
18,80832
18,80788
18,80828
18,80834
19,80833
19,80831
19,80832
19,18621
19,80788
19,80828
19,80835
20,1216
20,774
20,29
20,130
20,9579
20,347
20,36
20,773
20,27
20,374
20,555
20,556
20,775
21,1216
21,502
21,492
21,29
21,130
21,9579
21,347
21,27
21,374
21,784
21,775
22,69240
22,42248
22,34699
22,42238
22,42244
22,69241
22,42241
22,42240
22,69242
22,42243
22,69243
22,42239
22,42237
22,42255
22,42235
22,34701
22,42245
23,69244
23,42248
23,69245
23,42236
23,34699
23,42238
23,69241
23,42241
23,42240
23,69247
23,42251
23,69246
23,42255
23,42235
23,24039
24,7850
24,39
24,81839
24,208
24,2029
24,33
24,31
24,203
24,388
24,373
24,30
25,7850
25,53824
25,39
25,208
25,33
25,31
25,203
25,373
25,1813
25,7728
25,30
25,390
26,7850
26,39
26,208
26,2042
26,33
26,31
26,203
26,373
26,1813
26,7728
26,30
26,390
27,7850
27,39
27,208
27,33
27,31
27,203
27,373
27,1813
27,7728
27,30
28,7850
28,39
28,208
28,33
28,31
28,203
28,42454
28,373
28,1813
28,7728
28,30
28,18286
29,7850
29,39
29,208
29,33
29,31
29,203
29,373
29,1813
29,7728
29,30
29,38
29,18286
29,32
30,9301
30,35
30,37
30,4802
30,9302
30,9300
30,4964
30,523
31,9301
31,35
31,37
31,4802
31,9302
31,9300
31,9303
32,48
32,3880
32,111
32,9301
32,9306
32,35
32,37
32,3885
32,4803
32,9305
32,4802
32,9304
32,3882
32,3881
32,3883
32,9302
32,9300
32,9303
32,4951
32,3884
33,19779
33,2146
33,24113
33,7989
33,51
33,97
33,35
33,19780
33,2253
33,36
33,18777
33,19777
33,4964
33,5224
33,9303
33,19778
34,2758
34,3169
34,14666
34,3228
34,3248
34,3145
34,3256
34,3221
34,3170
34,2745
34,3261
34,3288
34,3167
34,3168
34,32527
35,2758
35,3169
35,14666
35,3228
35,3248
35,3145
35,3256
35,3221
35,3170
35,2745
35,3261
35,3288
35,3167
35,3168
35,32527
36,2180
36,48
36,2178
36,2179
36,877
36,2181
36,2177
36,2176
37,12324
37,40893
37,40
37,23638
37,31653
37,61649
37,14101
37,5962
37,40892
37,14100
38,40893
38,40
38,23638
38,6986
38,61649
38,14101
38,5962
38,40892
38,14100
39,40893
39,40
39,61649
39,14101
39,5962
39,14100
40,40
40,6986
40,61649
40,14101
40,5962
40,14100
41,93394
41,36267
41,30297
41,93393
41,35819
41,36265
41,36268
41,12492
41,36266
41,2
42,93394
42,36267
42,30297
42,93393
42,35819
42,36265
42,36268
42,12492
42,36266
42,2
43,93395
43,36267
43,30297
43,93393
43,35819
43,36265
43,12492
43,36266
43,36270
43,2
44,36271
44,12492
44,36270
44,2
45,35819
45,36271
45,12492
45,36266
45,36270
45,2
46,35819
46,36271
46,12492
46,36270
46,2
47,13
47,12
47,9
47,67
47,68
47,66
47,65
48,43263
48,43264
48,43265
48,25335
48,43266
48,25325
48,25301
48,43267
48,43268
49,55
49,567
49,62
49,577
49,4228
49,19
49,22
