ComicID,PublisherID
1,1
2,1
3,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,6
17,1
18,4
19,4
20,1
21,1
22,1
23,1
24,4
25,4
26,4
27,4
28,4
29,4
30,1
31,1
32,1
33,1
34,4
35,4
36,1
37,1
38,1
39,1
40,1
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,11
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
118,16
119,16
120,1
121,1
122,1
123,1
124,1
125,1
126,17
127,17
128,4
129,17
130,17
131,18
132,18
133,4
134,4
135,4
136,4
137,4
138,4
139,6
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,4
169,4
170,18
171,18
172,18
173,18
174,18
175,1
176,5
177,1
178,5
179,17
180,17
181,18
182,6
183,6
184,6
185,6
186,1
187,4
188,1
189,1
191,4
192,4
193,1
194,4
195,1
196,1
197,19
198,19
199,19
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,4
214,1
