ComicID,SeriesID
1,1
2,1
3,1
8,4
9,4
10,4
11,4
12,4
13,5
14,4
15,5
16,3
17,21
18,26
19,26
20,27
21,27
22,29
23,29
24,30
25,30
26,30
27,30
28,30
29,30
30,32
31,32
32,32
33,32
34,24
35,24
36,56
37,6
38,6
39,6
40,6
41,59
42,59
43,59
44,59
45,59
46,59
47,60
48,15
49,4
50,15
51,15
52,15
53,15
54,15
55,15
56,15
57,15
58,15
59,15
61,15
62,15
63,15
64,15
65,15
66,15
67,15
68,15
69,15
70,64
71,35
72,75
73,76
74,4
75,50
76,75
77,77
78,80
79,36
80,36
81,36
82,36
83,36
84,71
85,70
86,70
87,70
88,70
89,70
90,75
91,75
92,75
93,75
94,75
95,34
96,55
97,81
98,81
99,81
100,81
101,81
102,81
103,82
104,83
105,83
106,83
107,83
108,83
109,66
110,66
111,66
112,66
118,84
119,84
120,66
121,85
122,85
123,85
124,85
125,85
126,86
127,86
128,87
129,86
130,86
131,86
132,86
133,88
134,88
135,87
136,88
137,88
138,88
139,89
140,88
141,88
142,88
143,88
144,87
145,88
146,87
147,88
148,88
149,88
150,88
151,88
152,88
153,88
154,88
155,88
156,88
157,88
158,88
159,87
160,88
161,88
162,88
163,88
164,88
165,88
166,87
167,88
168,88
169,90
170,86
171,86
172,86
173,86
174,86
175,92
176,91
177,92
178,91
179,93
180,93
181,93
182,94
183,94
184,94
185,94
186,96
187,95
188,96
189,96
191,98
192,99
193,100
194,99
195,100
196,101
197,104
198,104
199,104
200,105
201,106
202,109
203,109
204,109
205,109
206,54
207,110
208,65
209,65
210,111
214,34
