ComicID,StoryArcID
1,2486
2,2486
3,2486
8,186
10,181
11,181
12,181
13,2268
14,181
15,2268
20,115
20,1608
21,115
21,1608
24,1058
25,1058
26,1058
27,1058
28,1058
29,1058
36,3559
49,186
70,1624
71,313
73,15
74,182
75,200
78,15
79,114
79,115
80,114
80,115
81,114
81,115
82,114
82,115
83,114
83,115
84,115
85,115
85,112
86,115
86,112
87,115
87,112
88,115
88,112
89,115
89,112
99,48
100,48
101,48
102,48
109,91
110,91
111,91
112,91
120,91
121,16
122,16
123,16
124,16
125,16
139,4618
191,1417
192,2859
193,2859
194,2859
195,2859
202,36
203,36
204,36
205,36
208,1424
209,1424
